KDSATKER,KODE_PROGRAM,KODE_KEGIATAN,KODE_OUTPUT,KODE_KOMPONEN,KODE_SUBKOMPONEN,URAIAN_SUBKOMPON,KODE_AKUN,KODE_ITEM,URAIAN_ITEM,SUMBER_DANA,VOLKEG,SATKEG,HARGASAT,TOTAL
634146,DL,2376,FAN,ZZ1,A,Pemenuhan prioritas direktif presiden,522191,1,Pemenuhan Prioritas Direktif Presiden,A,1,pkt,2919141000,2919141000
634146,DL,2376,FAN,ZZ1,A,Pemenuhan prioritas direktif presiden,524111,2,Belanja Operasional,A,1,pkt,214677000,214677000
